id,cuisine
18009,southern_us
28583,southern_us
41580,italian
29752,cajun_creole
35687,italian
38527,southern_us
19666,italian
41217,chinese
28753,mexican
22659,british
21749,italian
44967,greek
42969,indian
44883,italian
20827,southern_us
23196,french
35387,southern_us
33780,southern_us
19001,mexican
16526,southern_us
42455,japanese
47453,indian
42478,french
11885,japanese
16585,italian
29639,southern_us
26245,thai
38516,chinese
47520,italian
26212,italian
23696,mexican
14926,thai
13292,indian
27346,japanese
1384,chinese
15959,chinese
42297,russian
46235,indian
21181,indian
9809,cajun_creole
22982,cajun_creole
23120,chinese
26743,french
12741,mexican
7050,italian
22437,italian
14760,spanish
10649,indian
48065,vietnamese
39931,chinese
32935,italian
40142,thai
19103,indian
38267,italian
30512,italian
3324,chinese
26197,italian
384,japanese
47230,chinese
39748,cajun_creole
41038,french
24878,mexican
42624,filipino
45706,korean
8874,mexican
23878,greek
47234,chinese
24075,thai
46323,italian
22562,italian
11358,french
9201,indian
38620,thai
47638,chinese
21238,indian
11053,japanese
46602,indian
13937,mexican
21876,southern_us
20798,greek
24381,chinese
48178,spanish
45832,italian
27560,korean
23247,british
28975,southern_us
43230,greek
9126,french
13021,cajun_creole
28194,chinese
25617,indian
36125,italian
16454,mexican
1607,chinese
38526,indian
18755,southern_us
12035,french
16047,greek
15419,italian
16971,indian
31459,southern_us
27888,southern_us
13900,italian
12376,thai
1658,japanese
29431,southern_us
22290,italian
28464,italian
37953,korean
20814,chinese
35987,mexican
2329,italian
43237,southern_us
30647,french
16675,italian
37722,mexican
32438,chinese
20287,thai
43296,indian
6237,italian
48560,korean
20810,mexican
34951,french
31850,filipino
47745,southern_us
37815,vietnamese
9872,italian
5592,italian
27411,thai
39320,irish
40247,japanese
19792,mexican
40754,italian
14365,mexican
14468,southern_us
47563,mexican
19611,italian
7163,mexican
43069,british
27505,chinese
36500,chinese
25932,southern_us
817,italian
8471,french
48250,southern_us
9413,cajun_creole
12097,cajun_creole
8416,spanish
5892,italian
676,southern_us
47015,chinese
21891,spanish
14630,italian
36195,japanese
25981,mexican
39964,french
28298,indian
31954,brazilian
26620,mexican
14932,southern_us
47426,mexican
1038,southern_us
8077,southern_us
37141,southern_us
45447,french
9624,mexican
45589,southern_us
7265,greek
31844,southern_us
13046,italian
9867,southern_us
29184,italian
34783,italian
2823,thai
18932,mexican
11112,mexican
12859,thai
9365,italian
44516,mexican
18193,irish
46545,italian
9900,italian
14815,thai
39690,italian
22193,southern_us
11739,french
27311,chinese
36920,indian
7861,indian
29248,moroccan
43142,mexican
7574,southern_us
8610,mexican
989,italian
46926,mexican
40816,thai
39726,chinese
42229,southern_us
10474,italian
22140,mexican
31985,indian
46165,japanese
20860,italian
42494,italian
15968,french
20484,vietnamese
26661,thai
47182,mexican
22528,french
3861,thai
1203,french
45040,french
33287,indian
10097,jamaican
42005,southern_us
12423,spanish
39613,filipino
30276,filipino
18686,mexican
3031,french
40093,italian
182,italian
46591,mexican
4092,chinese
13722,southern_us
44575,italian
14989,italian
13270,italian
25529,italian
12140,indian
23127,mexican
13523,italian
41270,italian
8362,thai
11735,french
27935,italian
28198,mexican
37765,indian
33856,italian
30198,italian
42521,italian
21567,southern_us
36995,french
24967,thai
45002,southern_us
48925,southern_us
36914,indian
2280,southern_us
14729,southern_us
4594,italian
2237,mexican
45631,moroccan
2317,chinese
23079,southern_us
29333,chinese
48066,southern_us
15737,italian
30580,italian
1119,italian
46336,moroccan
5026,mexican
10749,indian
31020,mexican
30805,italian
27653,japanese
35060,mexican
39174,indian
49509,italian
31784,southern_us
31408,french
36029,mexican
11045,french
6561,southern_us
26992,southern_us
31179,southern_us
35099,mexican
11018,japanese
17930,mexican
21302,italian
46352,chinese
25132,mexican
7010,southern_us
25850,southern_us
19601,mexican
7935,italian
34994,filipino
25113,italian
45523,italian
34977,southern_us
7124,southern_us
27514,italian
27178,mexican
